LocationCode,RegistrarOffice
1976,ท้องถิ่นเทศบาลตำบลไผ่ต่ำ
1977,ท้องถิ่นเทศบาลตำบลตะกุด
1978,ท้องถิ่นเทศบาลตำบลกุดนกเปล้า
1979,ท้องถิ่นเทศบาลตำบลหน้าพระลาน
1980,ท้องถิ่นเทศบาลตำบลวังม่วง
1981,ท้องถิ่นเทศบาลตำบลมวกเหล็ก
1982,ท้องถิ่นเทศบาลตำบลเสาไห้
1983,ท้องถิ่นเทศบาลตำบลสวนดอกไม้
1984,ท้องถิ่นเทศบาลตำบลบ้านยาง
1985,ท้องถิ่นเทศบาลตำบลหนองโดน
1986,ท้องถิ่นเทศบาลตำบลดอนพุด
1987,ท้องถิ่นเทศบาลตำบลบ้านหมอ
1988,ท้องถิ่นเทศบาลตำบลท่าลาน
1989,ท้องถิ่นเทศบาลตำบลหนองแซง
1990,ท้องถิ่นเทศบาลตำบลหนองหมู
1991,ท้องถิ่นเทศบาลตำบลวิหารแดง
1992,ท้องถิ่นเทศบาลตำบลหินกอง
1993,ท้องถิ่นเทศบาลตำบลคชสิทธิ์
1994,ท้องถิ่นเทศบาลเมืองทับกวาง
1995,ท้องถิ่นเทศบาลตำบลป๊อกแป๊ก
1996,ท้องถิ่นเทศบาลเมืองพระพุทธบาท
1997,ท้องถิ่นเทศบาลตำบลหนองแค
1998,ท้องถิ่นเทศบาลเมืองแก่งคอย
1999,ท้องถิ่นเทศบาลเมืองสระบุรี
2000,จังหวัดชลบุรี
2001,อำเภอเมืองชลบุรี
2002,อำเภอบ้านบึง
2003,อำเภอหนองใหญ่
2004,อำเภอบางละมุง
2005,อำเภอพานทอง
2006,อำเภอพนัสนิคม
2007,อำเภอศรีราชา
2008,อำเภอเกาะสีชัง
2009,อำเภอสัตหีบ
2010,อำเภอบ่อทอง
2011,อำเภอเกาะจันทร์
2051,สาขาตำบลบางเสร่
2059,ท้องถิ่นเทศบาลเมืองปรกฟ้า
2060,ท้องถิ่นเทศบาลตำบลเกล็ดแก้ว
2061,ท้องถิ่นเทศบาลตำบลเขตรอุดมศักดิ์
2062,ท้องถิ่นเทศบาลตำบลหนองชาก
2063,ท้องถิ่นเทศบาลตำบลหมอนนาง
2064,ท้องถิ่นเทศบาลตำบลตะเคียนเตี้ย
2065,ท้องถิ่นเทศบาลตำบลเสม็ด
2066,ท้องถิ่นเทศบาลตำบลดอนหัวฬ่อ
2067,ท้องถิ่นเทศบาลตำบลห้วยกะปิ
2068,ท้องถิ่นเทศบาลตำบลนาป่า
